Rxn name	Rxn description	Formula	Gene-reaction association	Reversible	LB	UB	Objective
HMR_8063		2 m1196 + m3440  => 2 m3115 		0	 -0.00	1000.00	  0.00
HMR_8065		m3115  => m2092 + m3894 	(ENSG00000139631)	0	 -0.00	1000.00	  0.00
HMR_1847		m2714 + m2722 + m3883  => m2643 + m3870 	(ENSG00000101846)	0	 -0.00	1000.00	  0.00
HMR_1849		2 m1720 + m1824 + 2 m2722  => 2 m1606 + m1827 + 2 m3631 	(ENSG00000108846)	0	 -0.00	1000.00	  0.00
HMR_1853		2 m1720 + m1814 + 2 m2722  => 2 m1606 + m1815 + 2 m3631 	(ENSG00000103222)	0	 -0.00	1000.00	  0.00
HMR_1862		m2629 + m3331  => m2628 + m3330 	(ENSG00000125255)	0	 -0.00	1000.00	  0.00
HMR_1863		m2629 + 2 m3331  => m2628 + 2 m3330 	(ENSG00000125255)	0	 -0.00	1000.00	  0.00
HMR_1864		m1815 + 2 m3331  => m1814 + 2 m3330 	(ENSG00000125255)	0	 -0.00	1000.00	  0.00
HMR_1865		2 m3331 + m3901  => 2 m3330 + m3899 	(ENSG00000125255)	0	 -0.00	1000.00	  0.00
HMR_1866		2 m3331 + m3898  => 2 m3330 + m3896 	(ENSG00000125255)	0	 -0.00	1000.00	  0.00
HMR_1867		m2627 + 2 m3331  => m2626 + 2 m3330 	(ENSG00000125255)	0	 -0.00	1000.00	  0.00
HMR_1868		m1720 + m2628 + m2722  => m1606 + m2629 + m3631 	(ENSG00000108846) or (ENSG00000125257) or (ENSG00000163959) or (ENSG00000186198)	0	 -0.00	1000.00	  0.00
HMR_1870		m1720 + m2722 + m3899  => m1606 + m3631 + m3901 	(ENSG00000108846) or (ENSG00000125257) or (ENSG00000163959) or (ENSG00000186198)	0	 -0.00	1000.00	  0.00
HMR_1872		m1720 + m2722 + m3896  => m1606 + m3631 + m3898 	(ENSG00000103222) or (ENSG00000108846) or (ENSG00000125257) or (ENSG00000163959) or (ENSG00000186198)	0	 -0.00	1000.00	  0.00
HMR_1874		m1720 + m2626 + m2722  => m1606 + m2627 + m3631 	(ENSG00000108846) or (ENSG00000125257) or (ENSG00000163959) or (ENSG00000186198)	0	 -0.00	1000.00	  0.00
HMR_1895		m1725 + m1753 + m2728  => m1610 + m1754 + m3637 	(ENSG00000103222)	0	 -0.00	1000.00	  0.00
